"Replicate","R_Runtime_sec","R_ARI","R_NMI"
1,0.29200000000003,1,1
2,0.223000000000013,1,1
3,0.233000000000004,1,1
4,0.272000000000048,1,1
5,0.227000000000032,1,1
6,0.218999999999994,1,1
7,0.240999999999985,1,1
8,0.24799999999999,1,1
9,0.239000000000033,1,1
10,0.296999999999969,1,1
11,0.226999999999975,1,1
12,0.521999999999991,1,1
13,0.231000000000051,1,1
14,0.229999999999961,1,1
15,0.246000000000038,1,1
16,0.223000000000013,1,1
17,0.40100000000001,1,1
18,0.230999999999995,1,1
19,0.235000000000014,1,1
20,0.298000000000002,1,1
21,0.244000000000028,1,1
22,0.238,1,1
23,0.334000000000003,1,1
24,0.220000000000027,1,1
25,0.240000000000009,1,1
26,0.228000000000009,1,1
27,0.286000000000001,1,1
28,0.22199999999998,1,1
29,0.226999999999975,1,1
30,0.20799999999997,1,1
31,0.217999999999961,1,1
32,0.218999999999994,1,1
33,0.221000000000004,1,1
34,0.395000000000039,1,1
35,0.206999999999994,1,1
36,0.259999999999991,1,1
37,0.221000000000004,1,1
38,0.262,1,1
39,0.216999999999985,1,1
40,0.230999999999995,1,1
41,0.247000000000014,1,1
42,0.222999999999956,1,1
43,0.213999999999999,1,1
44,0.421000000000049,1,1
45,0.281000000000006,1,1
46,0.238,1,1
47,0.226999999999975,1,1
48,0.223000000000013,1,1
49,0.220000000000027,1,1
50,0.237000000000023,1,1
51,0.228999999999985,1,1
52,0.233000000000004,1,1
53,0.38900000000001,1,1
54,0.246999999999957,1,1
55,0.240999999999985,1,1
56,0.25200000000001,1,1
57,0.216999999999985,1,1
58,0.22399999999999,1,1
59,0.227000000000032,1,1
60,0.217999999999961,1,1
61,0.665999999999997,1,1
62,0.774999999999977,1,1
63,0.305999999999983,1,1
64,0.340000000000032,1,1
65,0.425999999999988,1,1
66,0.221000000000004,1,1
67,1.45800000000003,1,1
68,0.381000000000029,1,1
69,0.22399999999999,1,1
70,0.343999999999994,1,1
71,0.380999999999972,1,1
72,0.378000000000043,1,1
73,0.30400000000003,1,1
74,0.404999999999973,1,1
75,0.410000000000025,1,1
76,0.420000000000016,1,1
77,0.524000000000001,1,1
78,0.346000000000004,1,1
79,0.365999999999985,1,1
80,0.427999999999997,1,1
81,0.423999999999978,1,1
82,0.388000000000034,1,1
83,0.375,1,1
84,0.38900000000001,1,1
85,0.392999999999972,1,1
86,0.552999999999997,1,1
87,0.406000000000006,1,1
88,0.390999999999963,1,1
89,0.472000000000037,1,1
90,0.40100000000001,1,1
91,0.403999999999996,1,1
92,0.418000000000006,1,1
93,0.541000000000054,1,1
94,0.389999999999986,1,1
95,0.40100000000001,1,1
96,0.391999999999996,1,1
97,0.406000000000006,1,1
98,0.376000000000033,1,1
99,0.611999999999966,1,1
100,0.465999999999951,1,1
