Method,Implementation,Runtime,ARI,NMI
K-Means,R,0.0073 (0.0089),1.0000 (0.0000),1.0000 (0.0000)
K-Means,cuML (GPU),0.0017 (0.0003),1.0000 (0.0000),1.0000 (0.0000)
K-Means,sklearn (CPU),0.0036 (0.0003),1.0000 (0.0000),1.0000 (0.0000)
GMM,R,0.3294 (0.1590),1.0000 (0.0000),1.0000 (0.0000)
GMM,sklearn (CPU),0.0130 (0.0057),1.0000 (0.0000),1.0000 (0.0000)
HDBSCAN,R,4.8100 (0.1280),1.0000 (0.0000),1.0000 (0.0000)
HDBSCAN,cuML (GPU),0.0206 (0.0008),1.0000 (0.0000),1.0000 (0.0000)
HDBSCAN,sklearn (CPU),1.2867 (0.0131),1.0000 (0.0000),1.0000 (0.0000)
DBSCAN,R,1.9498 (0.4316),0.9000 (0.3000),0.9000 (0.3000)
DBSCAN,cuML (GPU),0.0078 (0.0010),0.9000 (0.3000),0.9000 (0.3000)
DBSCAN,sklearn (CPU),0.4629 (0.2950),0.9000 (0.3000),0.9000 (0.3000)
HC,R,6.1103 (0.3167),1.0000 (0.0000),1.0000 (0.0000)
HC,cuML (GPU),0.0134 (0.0003),1.0000 (0.0000),1.0000 (0.0000)
HC,sklearn (CPU),3.5672 (0.0614),1.0000 (0.0000),1.0000 (0.0000)
